layer,type,v_min,v_max,abs_max,int_bits,Q,scale,max_repr,overflow,format,num_bits
mobilevit.encoder.layer.4.transformer.layer.0.attention,MobileViTAttention,-2.8684,2.42286,2.8684,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.0.layernorm_after,LayerNorm,-4.71754,2.69905,4.71754,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.0.intermediate.dense,Linear,-9.07664,5.23008,9.07664,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.0.intermediate.intermediate_act_fn,SiLUActivation,-0.27846,5.20223,5.20223,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.0.intermediate,MobileViTIntermediate,-0.27846,5.20223,5.20223,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.0.output.dense,Linear,-3.54934,8.03306,8.03306,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.0.output.dropout,Dropout,-3.54934,8.03306,8.03306,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.0.output,MobileViTOutput,-9.25752,9.59041,9.59041,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.0,MobileViTTransformerLayer,-9.25752,9.59041,9.59041,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.1.layernorm_before,LayerNorm,-1.50892,1.58063,1.58063,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.attention.query,Linear,-5.01749,5.61218,5.61218,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.attention.key,Linear,-5.34543,4.33648,5.34543,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.attention.value,Linear,-2.5399,2.39475,2.5399,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.attention.dropout,Dropout,0.0,0.99886,0.99886,1,15,3.0517578125e-05,0.99997,False,Q0.15,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.attention,MobileViTSelfAttention,-1.72014,1.94186,1.94186,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.output.dense,Linear,-3.59303,2.59647,3.59303,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.output.dropout,Dropout,-3.59303,2.59647,3.59303,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.1.attention.output,MobileViTSelfOutput,-3.59303,2.59647,3.59303,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.1.attention,MobileViTAttention,-3.59303,2.59647,3.59303,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.1.layernorm_after,LayerNorm,-4.29678,3.15846,4.29678,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.intermediate.dense,Linear,-11.66674,5.20937,11.66674,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.1.intermediate.intermediate_act_fn,SiLUActivation,-0.27846,5.18106,5.18106,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.intermediate,MobileViTIntermediate,-0.27846,5.18106,5.18106,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.output.dense,Linear,-5.19418,7.46195,7.46195,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.output.dropout,Dropout,-5.19418,7.46195,7.46195,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.1.output,MobileViTOutput,-8.63219,15.55596,15.55596,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.1,MobileViTTransformerLayer,-8.63219,15.55596,15.55596,5,11,0.00048828125,15.99951,False,Q4.11,16
mobilevit.encoder.layer.4.transformer.layer.2.layernorm_before,LayerNorm,-1.86425,1.98992,1.98992,2,14,6.103515625e-05,1.99994,False,Q1.14,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.attention.query,Linear,-5.73469,5.51667,5.73469,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.attention.key,Linear,-4.5403,4.75624,4.75624,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.attention.value,Linear,-3.30312,4.20331,4.20331,4,12,0.000244140625,7.99976,False,Q3.12,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.attention.dropout,Dropout,0.0,0.99511,0.99511,1,15,3.0517578125e-05,0.99997,False,Q0.15,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.attention,MobileViTSelfAttention,-2.71924,2.8369,2.8369,3,13,0.0001220703125,3.99988,False,Q2.13,16
mobilevit.encoder.layer.4.transformer.layer.2.attention.output.dense,Linear,-4.50149,5.70175,5.70175,4,12,0.000244140625,7.99976,False,Q3.12,16
